"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","specs/saucedemo/shopping.md","3","0","","0"
"0","","0","specs/saucedemo/login.md","2","0","","0"
